State	County	Number of Synthetics Reports
VA	BEDFORD	23
VA	VIRGINIA BEACH CITY	14
VA	ALEXANDRIA CITY	5
VA	SHENANDOAH	36
VA	RAPPAHANNOCK	2
VA	WYTHE	13
VA	GOOCHLAND	3
VA	NEWPORT NEWS CITY	8
VA	ESSEX	2
VA	FLUVANNA	7
VA	GRAYSON	4
VA	LANCASTER	2
VA	RUSSELL	5
VA	ACCOMACK	1
VA	NEW KENT	3
VA	TAZEWELL	16
VA	GREENSVILLE	1
VA	MADISON	4
VA	MARTINSVILLE CITY	2
VA	HARRISONBURG CITY	2
VA	SALEM	4
VA	FAUQUIER	53
VA	CAROLINE	17
KY	LAWRENCE	2
KY	MCCRACKEN	11
KY	LETCHER	1
KY	MONROE	1
KY	PIKE	2
KY	BREATHITT	3
KY	SHELBY	25
KY	LEWIS	7
KY	MARTIN	2
KY	NICHOLAS	4
KY	DAVIESS	3
KY	GRANT	31
KY	WOLFE	4
KY	MERCER	12
KY	CALDWELL	1
KY	FLEMING	3
KY	MEADE	4
KY	NELSON	28
KY	FULTON	4
KY	BELL	4
KY	BATH	6
KY	KENTON	328
KY	BOONE	129
KY	BOYLE	51
KY	BULLITT	31
KY	HARDIN	18
KY	CARROLL	19
KY	MONTGOMERY	62
KY	JACKSON	3
KY	BOYD	65
KY	MASON	21
KY	JESSAMINE	47
KY	WAYNE	5
KY	LESLIE	2
KY	HENRY	5
KY	GARRARD	11
KY	ROCKCASTLE	7
KY	WARREN	2
KY	CLINTON	1
KY	HARLAN	5
KY	MAGOFFIN	3
KY	BARREN	4
KY	ROWAN	17
KY	HOPKINS	11
KY	MARSHALL	2
KY	CAMPBELL	226
KY	JEFFERSON	849
KY	KNOX	2
KY	GREENUP	10
KY	OLDHAM	12
KY	MENIFEE	1
KY	FAYETTE	471
KY	ANDERSON	6
KY	FLOYD	8
KY	HENDERSON	4
KY	LINCOLN	2
KY	CARTER	32
KY	JOHNSON	2
KY	PENDLETON	5
KY	ESTILL	12
KY	PULASKI	15
KY	HARRISON	29
KY	ELLIOTT	2
KY	LEE	3
KY	SCOTT	29
KY	FRANKLIN	34
KY	MORGAN	1
KY	PERRY	8
KY	OWEN	3
KY	BOURBON	6
KY	GALLATIN	1
KY	GRAVES	7
KY	WOODFORD	12
KY	GRAYSON	3
KY	OHIO	2
KY	POWELL	6
KY	TAYLOR	14
KY	RUSSELL	3
KY	WHITLEY	2
KY	CALLOWAY	5
KY	BRECKINRIDGE	1
KY	MARION	9
KY	LAUREL	28
KY	MADISON	139
KY	CLARK	20
KY	KNOTT	5
KY	TRIMBLE	1
PA	BEDFORD	7
PA	PERRY	11
PA	COLUMBIA	19
PA	ADAMS	14
PA	LAWRENCE	37
PA	POTTER	10
PA	NORTHUMBERLAND	25
PA	PHILADELPHIA	3373
PA	SCHUYLKILL	141
PA	JEFFERSON	39
PA	CHESTER	184
PA	BEAVER	140
PA	CARBON	23
PA	ERIE	137
PA	DAUPHIN	419
PA	MONROE	53
PA	CLEARFIELD	16
PA	PIKE	13
PA	MONTOUR	5
PA	CUMBERLAND	3
PA	ARMSTRONG	37
PA	LYCOMING	120
PA	DELAWARE	517
PA	LEBANON	172
PA	FAYETTE	113
PA	MONTGOMERY	22
PA	GREENE	9
PA	FOREST	3
PA	SNYDER	27
PA	BUTLER	95
PA	BUCKS	38
PA	SOMERSET	34
PA	WARREN	4
PA	WESTMORELAND	172
PA	LANCASTER	352
PA	ELK	5
PA	NORTHAMPTON	24
PA	SUSQUEHANNA	41
PA	CENTRE	41
PA	UNION	13
PA	HUNTINGDON	24
PA	WYOMING	7
PA	WASHINGTON	213
PA	CLARION	11
PA	LEHIGH	43
PA	YORK	408
PA	BERKS	209
PA	INDIANA	32
PA	MERCER	30
PA	JUNIATA	13
PA	BRADFORD	20
PA	TIOGA	6
PA	CLINTON	3
PA	BLAIR	121
PA	MIFFLIN	28
PA	FULTON	3
PA	WAYNE	3
PA	CAMBRIA	55
PA	FRANKLIN	69
PA	VENANGO	19
PA	ALLEGHENY	2253
PA	MCKEAN	1
PA	CRAWFORD	31
PA	LUZERNE	455
PA	LACKAWANNA	158
OH	ADAMS	33
OH	LAWRENCE	50
OH	TRUMBULL	451
OH	ASHLAND	125
OH	VAN WERT	38
OH	ERIE	200
OH	MONROE	9
OH	PIKE	9
OH	SHELBY	131
OH	CHAMPAIGN	90
OH	SUMMIT	669
OH	PUTNAM	1
OH	HAMILTON	5425
OH	ASHTABULA	274
OH	MERCER	31
OH	LAKE	1197
OH	FULTON	14
OH	ROSS	70
OH	MAHONING	342
OH	HARDIN	12
OH	CARROLL	9
OH	MONTGOMERY	2592
OH	GREENE	286
OH	COLUMBIANA	169
OH	JACKSON	33
OH	LUCAS	232
OH	UNION	20
OH	WASHINGTON	57
OH	WAYNE	148
OH	DEFIANCE	61
OH	WARREN	240
OH	CLINTON	107
OH	RICHLAND	119
OH	SANDUSKY	52
OH	OTTAWA	26
OH	WOOD	67
OH	AUGLAIZE	32
OH	GEAUGA	49
OH	HIGHLAND	68
OH	CRAWFORD	30
OH	SENECA	38
OH	MEIGS	3
OH	GALLIA	81
OH	JEFFERSON	14
OH	KNOX	18
OH	BROWN	27
OH	DELAWARE	63
OH	FAYETTE	117
OH	GUERNSEY	36
OH	VINTON	2
OH	PICKAWAY	16
OH	COSHOCTON	5
OH	MIAMI	223
OH	HANCOCK	144
OH	LICKING	91
OH	FAIRFIELD	53
OH	HARRISON	2
OH	HOCKING	14
OH	PREBLE	68
OH	SCIOTO	122
OH	PAULDING	5
OH	BELMONT	69
OH	FRANKLIN	918
OH	MORGAN	4
OH	HURON	105
OH	DARKE	79
OH	PERRY	9
OH	TUSCARAWAS	41
OH	WYANDOT	8
OH	CLERMONT	284
OH	LORAIN	590
OH	ATHENS	22
OH	MORROW	19
OH	BUTLER	683
OH	ALLEN	93
OH	HOLMES	4
OH	PORTAGE	173
OH	STARK	657
OH	MARION	85
OH	MEDINA	187
OH	MUSKINGUM	49
OH	NOBLE	11
OH	MADISON	15
OH	CUYAHOGA	4187
OH	CLARK	361
OH	LOGAN	76
WV	WOOD	85
WV	JACKSON	1
WV	MORGAN	6
WV	WAYNE	2
WV	GREENBRIER	1
WV	HANCOCK	9
WV	CABELL	31
WV	HAMPSHIRE	3
WV	PUTNAM	1
WV	LOGAN	7
WV	JEFFERSON	7
WV	MARION	3
WV	RALEIGH	13
WV	HARRISON	13
WV	BERKELEY	32
WV	KANAWHA	93
WV	OHIO	9
WV	NICHOLAS	13
WV	MERCER	5
WV	MARSHALL	2
WV	MINERAL	6
