State	County	Number of Synthetics Reports
PA	BEAVER	1
PA	CARBON	5
PA	ERIE	7
PA	DAUPHIN	13
PA	MONROE	9
PA	PIKE	1
PA	CUMBERLAND	5
PA	ARMSTRONG	3
PA	LYCOMING	5
PA	DELAWARE	30
PA	LEBANON	5
PA	FAYETTE	10
PA	MONTGOMERY	3
PA	FOREST	1
PA	SNYDER	2
PA	BUTLER	4
PA	BUCKS	62
PA	SOMERSET	7
PA	WESTMORELAND	10
PA	LANCASTER	5
PA	NORTHAMPTON	8
PA	CENTRE	6
PA	UNION	4
PA	HUNTINGDON	2
PA	WYOMING	4
PA	WASHINGTON	7
PA	CLARION	3
PA	LEHIGH	7
PA	YORK	19
PA	BERKS	5
PA	INDIANA	8
PA	MERCER	3
PA	JUNIATA	1
PA	BRADFORD	4
PA	TIOGA	2
PA	CLINTON	1
PA	BLAIR	9
PA	MIFFLIN	1
PA	VENANGO	3
PA	WAYNE	2
PA	CAMBRIA	7
PA	FRANKLIN	9
PA	ALLEGHENY	43
PA	MCKEAN	2
PA	CRAWFORD	6
PA	LACKAWANNA	5
OH	SENECA	11
OH	LORAIN	3
OH	ADAMS	7
OH	MEIGS	1
OH	DEFIANCE	6
OH	TUSCARAWAS	7
OH	ATHENS	6
OH	GALLIA	5
OH	JEFFERSON	3
OH	VINTON	1
OH	ERIE	16
OH	MONROE	1
OH	LUCAS	12
OH	BROWN	7
OH	MAHONING	29
OH	HARDIN	1
OH	SHELBY	4
OH	STARK	14
OH	CLERMONT	13
OH	DELAWARE	7
OH	FAYETTE	4
OH	MONTGOMERY	69
OH	GREENE	7
OH	SUMMIT	8
OH	PIKE	1
OH	WOOD	5
OH	BUTLER	23
OH	ALLEN	11
OH	COLUMBIANA	1
OH	HOLMES	3
OH	TRUMBULL	7
OH	JACKSON	2
OH	MORGAN	2
OH	PICKAWAY	6
OH	NOBLE	1
OH	MIAMI	5
OH	PORTAGE	6
OH	HANCOCK	3
OH	WASHINGTON	7
OH	LICKING	23
OH	FAIRFIELD	20
OH	WAYNE	6
OH	HAMILTON	77
OH	MEDINA	4
OH	ASHTABULA	6
OH	HENRY	4
OH	ASHLAND	7
OH	MERCER	1
OH	WILLIAMS	1
OH	WARREN	15
OH	VAN WERT	2
OH	COSHOCTON	1
OH	MADISON	2
OH	HURON	4
OH	CLINTON	4
OH	CUYAHOGA	16
OH	SCIOTO	3
OH	DARKE	9
OH	PERRY	2
OH	BELMONT	3
OH	LAKE	38
OH	OTTAWA	1
OH	LOGAN	1
OH	MORROW	7
OH	FRANKLIN	37
OH	AUGLAIZE	3
OH	MARION	2
OH	HIGHLAND	5
OH	CRAWFORD	3
OH	FULTON	1
OH	ROSS	3
WV	POCAHONTAS	1
WV	GILMER	2
WV	BRAXTON	2
WV	PENDLETON	2
WV	LEWIS	1
WV	HANCOCK	4
WV	CABELL	1
WV	UPSHUR	1
WV	MASON	1
WV	ROANE	3
WV	WOOD	3
WV	MARION	1
WV	RALEIGH	5
WV	MORGAN	1
WV	BERKELEY	15
WV	KANAWHA	9
WV	MERCER	3
WV	MARSHALL	2
WV	MONROE	1
WV	MINERAL	3
