State	County	Number of Synthetics Reports
PA	JEFFERSON	6
PA	CHESTER	17
PA	BEAVER	5
PA	CARBON	2
PA	ERIE	12
PA	DAUPHIN	13
PA	MONROE	7
PA	CLEARFIELD	5
PA	CUMBERLAND	1
PA	ARMSTRONG	1
PA	LYCOMING	1
PA	DELAWARE	28
PA	LEBANON	6
PA	FAYETTE	9
PA	MONTGOMERY	3
PA	PERRY	2
PA	BUTLER	1
PA	BUCKS	37
PA	WARREN	8
PA	VENANGO	2
PA	LUZERNE	8
PA	SUSQUEHANNA	2
PA	CENTRE	1
PA	WYOMING	3
PA	WASHINGTON	10
PA	CLARION	2
PA	WESTMORELAND	10
PA	LEHIGH	3
PA	YORK	22
PA	BERKS	9
PA	INDIANA	2
PA	MERCER	5
PA	JUNIATA	1
PA	BRADFORD	4
PA	TIOGA	1
PA	CLINTON	3
PA	BLAIR	6
PA	MIFFLIN	3
PA	WAYNE	1
PA	CAMBRIA	5
PA	FRANKLIN	7
PA	ALLEGHENY	38
PA	MCKEAN	1
PA	CRAWFORD	10
OH	SENECA	2
OH	PERRY	4
OH	ADAMS	3
OH	HENRY	1
OH	TUSCARAWAS	2
OH	FAYETTE	1
OH	GALLIA	1
OH	JEFFERSON	1
OH	VINTON	2
OH	KNOX	3
OH	ERIE	13
OH	PICKAWAY	4
OH	BROWN	4
OH	MAHONING	18
OH	HARDIN	3
OH	SHELBY	1
OH	STARK	4
OH	CHAMPAIGN	1
OH	CLERMONT	9
OH	DELAWARE	10
OH	CARROLL	1
OH	ATHENS	3
OH	MONTGOMERY	53
OH	GREENE	5
OH	UNION	2
OH	SUMMIT	6
OH	GUERNSEY	2
OH	WOOD	5
OH	BUTLER	26
OH	ALLEN	5
OH	WARREN	13
OH	COLUMBIANA	1
OH	HOLMES	1
OH	TRUMBULL	9
OH	JACKSON	4
OH	LUCAS	9
OH	MIAMI	10
OH	PORTAGE	3
OH	HANCOCK	2
OH	WASHINGTON	2
OH	LICKING	30
OH	FAIRFIELD	11
OH	WAYNE	1
OH	MARION	2
OH	MEDINA	8
OH	ASHTABULA	3
OH	DEFIANCE	1
OH	ASHLAND	6
OH	PUTNAM	2
OH	WILLIAMS	1
OH	RICHLAND	2
OH	VAN WERT	4
OH	COSHOCTON	4
OH	MADISON	3
OH	HURON	4
OH	CLINTON	6
OH	CUYAHOGA	32
OH	SCIOTO	6
OH	DARKE	1
OH	SANDUSKY	4
OH	BELMONT	2
OH	LAKE	39
OH	OTTAWA	3
OH	LOGAN	2
OH	MORROW	4
OH	FRANKLIN	30
OH	MORGAN	2
OH	HAMILTON	46
OH	HIGHLAND	6
OH	CRAWFORD	2
OH	FULTON	6
OH	ROSS	3
WV	MORGAN	8
WV	DODDRIDGE	1
WV	KANAWHA	1
WV	LEWIS	1
WV	MARSHALL	1
WV	MINGO	1
WV	CALHOUN	1
WV	HAMPSHIRE	1
WV	CABELL	1
WV	ROANE	1
WV	HARDY	2
WV	LOGAN	1
WV	WOOD	1
WV	MARION	1
WV	RALEIGH	2
WV	HARRISON	1
WV	BERKELEY	14
WV	BROOKE	2
WV	OHIO	5
WV	MCDOWELL	1
WV	MERCER	6
