State	County	Number of Synthetics Reports
OH	TUSCARAWAS	3
OH	WYANDOT	2
OH	GALLIA	4
OH	JEFFERSON	3
OH	KNOX	2
OH	ERIE	10
OH	PICKAWAY	5
OH	BROWN	6
OH	MAHONING	26
OH	HARDIN	3
OH	MORGAN	1
OH	SHELBY	5
OH	STARK	21
OH	CHAMPAIGN	1
OH	CLERMONT	22
OH	DELAWARE	17
OH	CARROLL	1
OH	ATHENS	12
OH	MONTGOMERY	65
OH	GREENE	6
OH	UNION	3
OH	SUMMIT	13
OH	GUERNSEY	6
OH	WOOD	6
OH	BUTLER	17
OH	ALLEN	5
OH	WARREN	15
OH	FRANKLIN	20
OH	HOLMES	1
OH	JACKSON	7
OH	LUCAS	21
OH	PIKE	5
OH	MIAMI	8
OH	PORTAGE	8
OH	HANCOCK	3
OH	WASHINGTON	10
OH	LICKING	29
OH	FAIRFIELD	4
OH	WAYNE	5
OH	HAMILTON	112
OH	MEDINA	5
OH	ASHTABULA	2
OH	DEFIANCE	5
OH	ASHLAND	10
OH	PREBLE	3
OH	MUSKINGUM	1
OH	MERCER	3
OH	RICHLAND	9
OH	VAN WERT	5
OH	COSHOCTON	1
OH	MADISON	6
OH	HIGHLAND	8
OH	CLINTON	8
OH	CUYAHOGA	23
OH	SCIOTO	5
OH	DARKE	3
OH	PAULDING	1
OH	BELMONT	4
OH	LAKE	44
OH	OTTAWA	3
OH	MORROW	7
OH	COLUMBIANA	1
OH	AUGLAIZE	3
OH	GEAUGA	1
OH	MARION	8
OH	HURON	2
OH	CRAWFORD	6
OH	SANDUSKY	7
OH	FULTON	1
OH	ROSS	17
WV	MARSHALL	1
WV	RALEIGH	2
WV	BOONE	1
WV	BERKELEY	2
WV	MCDOWELL	1
WV	MERCER	5
WV	PRESTON	1
WV	FAYETTE	2
WV	HARDY	2
WV	OHIO	16
WV	NICHOLAS	1
WV	JACKSON	1
WV	MINERAL	1
WV	HANCOCK	2
WV	ROANE	1
WV	WAYNE	1
WV	HARRISON	1
WV	POCAHONTAS	2
WV	MINGO	1
WV	LOGAN	1
WV	WOOD	2
WV	KANAWHA	4
WV	UPSHUR	2
