State	County	Number of Synthetics Reports
KY	JOHNSON	4
KY	BOONE	20
KY	LAUREL	22
KY	KNOX	6
KY	HART	1
KY	BOYLE	7
KY	BULLITT	4
KY	PIKE	5
KY	BREATHITT	2
KY	CHRISTIAN	1
KY	CUMBERLAND	1
KY	WHITLEY	4
KY	SHELBY	1
KY	TRIGG	1
KY	MERCER	4
KY	CARROLL	6
KY	FAYETTE	46
KY	WARREN	4
KY	MONTGOMERY	12
KY	FLOYD	23
KY	WOODFORD	4
KY	GALLATIN	1
KY	CLAY	6
KY	BUTLER	1
KY	EDMONSON	1
KY	NICHOLAS	1
KY	POWELL	10
KY	NELSON	3
KY	DAVIESS	5
KY	KENTON	43
KY	JACKSON	2
KY	CARTER	4
KY	BOYD	11
KY	GRANT	2
KY	MARSHALL	3
KY	WEBSTER	1
KY	MARION	2
KY	MADISON	24
KY	ESTILL	3
KY	PULASKI	5
KY	JESSAMINE	18
KY	WAYNE	2
KY	LESLIE	7
KY	HARRISON	5
KY	ALLEN	3
KY	CAMPBELL	61
KY	HARDIN	8
KY	MASON	4
KY	MUHLENBERG	5
KY	ROCKCASTLE	6
KY	SIMPSON	1
KY	GREENUP	4
KY	LYON	2
KY	CLINTON	4
KY	LEE	2
KY	CLARK	3
KY	KNOTT	2
KY	CALDWELL	1
KY	LIVINGSTON	1
KY	TRIMBLE	3
KY	MCCRACKEN	7
KY	LOGAN	3
KY	MEADE	1
KY	HARLAN	10
KY	FRANKLIN	1
KY	OLDHAM	1
KY	BARREN	3
KY	LETCHER	1
KY	GRAVES	2
KY	SCOTT	4
KY	TAYLOR	4
PA	LUZERNE	53
PA	NORTHUMBERLAND	4
PA	COLUMBIA	6
PA	ADAMS	2
PA	LAWRENCE	3
PA	POTTER	1
PA	PHILADELPHIA	98
PA	SCHUYLKILL	14
PA	JEFFERSON	3
PA	CHESTER	25
PA	BEAVER	3
PA	CARBON	3
PA	ERIE	18
PA	DAUPHIN	12
PA	MONROE	7
PA	CLEARFIELD	2
PA	CUMBERLAND	1
PA	ARMSTRONG	8
PA	LYCOMING	10
PA	DELAWARE	63
PA	LEBANON	23
PA	FAYETTE	5
PA	GREENE	1
PA	PERRY	1
PA	SNYDER	3
PA	BUTLER	11
PA	BUCKS	104
PA	SOMERSET	2
PA	WESTMORELAND	20
PA	LANCASTER	10
PA	ELK	1
PA	SUSQUEHANNA	4
PA	UNION	1
PA	WYOMING	2
PA	WASHINGTON	14
PA	LEHIGH	6
PA	YORK	69
PA	BERKS	12
PA	INDIANA	1
PA	MERCER	8
PA	WARREN	1
PA	BRADFORD	3
PA	TIOGA	1
PA	CLINTON	2
PA	BLAIR	24
PA	MIFFLIN	1
PA	VENANGO	1
PA	WAYNE	1
PA	CAMBRIA	12
PA	FRANKLIN	9
PA	ALLEGHENY	109
PA	MCKEAN	3
PA	CRAWFORD	2
PA	LACKAWANNA	3
OH	SENECA	7
OH	LORAIN	2
OH	ADAMS	9
OH	LAWRENCE	3
OH	MEIGS	1
OH	TRUMBULL	16
OH	TUSCARAWAS	6
OH	WYANDOT	2
OH	FAYETTE	25
OH	GALLIA	6
OH	ASHLAND	21
OH	JEFFERSON	4
OH	VINTON	2
OH	KNOX	1
OH	ERIE	17
OH	MONROE	1
OH	PICKAWAY	3
OH	BROWN	8
OH	MAHONING	67
OH	HARDIN	4
OH	SHELBY	8
OH	STARK	80
OH	CHAMPAIGN	7
OH	CLERMONT	32
OH	DELAWARE	16
OH	ATHENS	6
OH	MONTGOMERY	388
OH	GREENE	45
OH	UNION	9
OH	SUMMIT	66
OH	GUERNSEY	6
OH	WOOD	11
OH	BUTLER	76
OH	ALLEN	7
OH	WARREN	35
OH	FRANKLIN	75
OH	JACKSON	2
OH	LUCAS	46
OH	PIKE	2
OH	MIAMI	29
OH	PORTAGE	26
OH	HANCOCK	14
OH	WASHINGTON	5
OH	MEDINA	24
OH	FAIRFIELD	8
OH	WAYNE	7
OH	HAMILTON	235
OH	LICKING	15
OH	ASHTABULA	11
OH	DEFIANCE	17
OH	HOCKING	3
OH	PREBLE	4
OH	MUSKINGUM	4
OH	MERCER	12
OH	RICHLAND	13
OH	VAN WERT	2
OH	NOBLE	2
OH	MADISON	4
OH	HURON	6
OH	CLINTON	16
OH	CUYAHOGA	163
OH	CLARK	3
OH	SCIOTO	19
OH	CRAWFORD	14
OH	PAULDING	1
OH	BELMONT	4
OH	LAKE	52
OH	OTTAWA	2
OH	LOGAN	3
OH	MORROW	6
OH	COLUMBIANA	12
OH	AUGLAIZE	4
OH	GEAUGA	6
OH	MARION	12
OH	HIGHLAND	34
OH	DARKE	6
OH	SANDUSKY	7
OH	FULTON	1
OH	ROSS	15
WV	NICHOLAS	1
WV	MONONGALIA	2
WV	JACKSON	1
WV	BRAXTON	2
WV	MORGAN	3
WV	LEWIS	1
WV	MARSHALL	4
WV	CABELL	8
WV	TUCKER	1
WV	WOOD	15
WV	LOGAN	3
WV	JEFFERSON	4
WV	MARION	4
WV	RALEIGH	5
WV	HARRISON	2
WV	BERKELEY	10
WV	KANAWHA	7
WV	OHIO	2
WV	MCDOWELL	3
WV	MERCER	3
WV	UPSHUR	1
