State	County	Number of Synthetics Reports
KY	BOONE	2
KY	LAUREL	12
KY	BOURBON	1
KY	WEBSTER	1
KY	KNOX	4
KY	BOYLE	1
KY	BULLITT	6
KY	PIKE	6
KY	BREATHITT	14
KY	HARDIN	1
KY	WHITLEY	8
KY	SHELBY	1
KY	LAWRENCE	2
KY	MAGOFFIN	3
KY	HOPKINS	3
KY	MENIFEE	1
KY	FAYETTE	26
KY	MONTGOMERY	9
KY	CASEY	4
KY	ANDERSON	1
KY	FLOYD	15
KY	CLAY	4
KY	EDMONSON	2
KY	WOODFORD	2
KY	MCCREARY	2
KY	NELSON	3
KY	LINCOLN	2
KY	KENTON	12
KY	CARTER	2
KY	BOYD	7
KY	GRANT	1
KY	PENDLETON	5
KY	MARSHALL	1
KY	MARTIN	1
KY	CALLOWAY	1
KY	LYON	1
KY	MASON	2
KY	PULASKI	2
KY	JESSAMINE	5
KY	LESLIE	2
KY	HARRISON	3
KY	OHIO	6
KY	CAMPBELL	11
KY	GRAVES	3
KY	SPENCER	1
KY	SIMPSON	2
KY	WARREN	4
KY	WOLFE	1
KY	MADISON	13
KY	CLINTON	1
KY	LEE	5
KY	CLARK	1
KY	KNOTT	6
KY	LIVINGSTON	1
KY	ROWAN	2
KY	OWSLEY	1
KY	FLEMING	1
KY	TRIMBLE	1
KY	ROCKCASTLE	1
KY	MEADE	3
KY	HARLAN	11
KY	FRANKLIN	6
KY	OLDHAM	1
KY	BARREN	3
KY	MARION	3
KY	MUHLENBERG	2
KY	SCOTT	1
PA	BEDFORD	4
PA	SNYDER	2
PA	COLUMBIA	2
PA	ADAMS	2
PA	LAWRENCE	7
PA	POTTER	2
PA	NORTHUMBERLAND	4
PA	PHILADELPHIA	68
PA	WESTMORELAND	13
PA	SCHUYLKILL	5
PA	JEFFERSON	1
PA	LANCASTER	9
PA	CHESTER	13
PA	BEAVER	1
PA	CARBON	1
PA	ERIE	6
PA	DAUPHIN	22
PA	MONROE	4
PA	CLEARFIELD	1
PA	PIKE	1
PA	MONTOUR	1
PA	ARMSTRONG	3
PA	LYCOMING	3
PA	DELAWARE	55
PA	LEBANON	7
PA	FAYETTE	5
PA	MONTGOMERY	7
PA	GREENE	1
PA	PERRY	4
PA	CAMERON	1
PA	BUCKS	3
PA	SOMERSET	4
PA	VENANGO	4
PA	LUZERNE	12
PA	ELK	2
PA	NORTHAMPTON	2
PA	SUSQUEHANNA	2
PA	CENTRE	6
PA	UNION	1
PA	WYOMING	2
PA	WASHINGTON	4
PA	BUTLER	1
PA	LEHIGH	5
PA	YORK	24
PA	BERKS	16
PA	MERCER	9
PA	JUNIATA	2
PA	BRADFORD	4
PA	TIOGA	2
PA	CLINTON	1
PA	BLAIR	4
PA	MIFFLIN	3
PA	CAMBRIA	9
PA	FRANKLIN	6
PA	ALLEGHENY	50
PA	MCKEAN	2
PA	CRAWFORD	8
PA	FULTON	2
PA	LACKAWANNA	4
OH	SENECA	3
OH	PERRY	2
OH	ADAMS	2
OH	MEIGS	2
OH	TRUMBULL	7
OH	GALLIA	2
OH	HOCKING	1
OH	JEFFERSON	2
OH	VINTON	2
OH	KNOX	1
OH	ERIE	9
OH	PICKAWAY	5
OH	BROWN	5
OH	MAHONING	22
OH	SHELBY	3
OH	CLERMONT	10
OH	DELAWARE	3
OH	CARROLL	1
OH	ATHENS	2
OH	MONTGOMERY	102
OH	GREENE	18
OH	SUMMIT	10
OH	GUERNSEY	2
OH	WOOD	6
OH	BUTLER	28
OH	ALLEN	9
OH	FRANKLIN	61
OH	JACKSON	4
OH	LUCAS	11
OH	RICHLAND	2
OH	PIKE	4
OH	MIAMI	5
OH	PORTAGE	7
OH	HANCOCK	3
OH	WASHINGTON	2
OH	MEDINA	5
OH	FAIRFIELD	8
OH	WAYNE	1
OH	HAMILTON	55
OH	LICKING	12
OH	ASHTABULA	8
OH	DEFIANCE	4
OH	ASHLAND	8
OH	MUSKINGUM	1
OH	MERCER	1
OH	WARREN	11
OH	COSHOCTON	2
OH	MADISON	2
OH	HURON	6
OH	CLINTON	5
OH	CUYAHOGA	36
OH	CRAWFORD	2
OH	SANDUSKY	1
OH	LAKE	37
OH	MORROW	1
OH	COLUMBIANA	3
OH	AUGLAIZE	1
OH	MARION	7
OH	HIGHLAND	2
OH	DARKE	3
OH	FULTON	2
OH	ROSS	4
WV	WAYNE	1
WV	WEBSTER	1
WV	HANCOCK	3
WV	MINGO	1
WV	CABELL	3
WV	HAMPSHIRE	1
WV	LOGAN	1
WV	MARSHALL	1
WV	MARION	1
WV	WOOD	1
WV	BERKELEY	4
WV	KANAWHA	2
WV	OHIO	4
WV	MERCER	2
WV	UPSHUR	2
