State	County	Number of Synthetics Reports
PA	BEAVER	107
PA	CARBON	16
PA	ERIE	54
PA	DAUPHIN	141
PA	MONROE	25
PA	CLEARFIELD	1
PA	PIKE	2
PA	MONTOUR	2
PA	CUMBERLAND	2
PA	ARMSTRONG	31
PA	LYCOMING	62
PA	DELAWARE	250
PA	LEBANON	70
PA	FAYETTE	29
PA	MONTGOMERY	9
PA	GREENE	2
PA	PERRY	20
PA	SNYDER	7
PA	BUTLER	40
PA	BUCKS	8
PA	SOMERSET	15
PA	VENANGO	14
PA	LANCASTER	94
PA	ELK	5
PA	SUSQUEHANNA	11
PA	CENTRE	14
PA	UNION	1
PA	HUNTINGDON	5
PA	WYOMING	11
PA	WASHINGTON	101
PA	CLARION	2
PA	WESTMORELAND	138
PA	LEHIGH	37
PA	YORK	145
PA	BERKS	133
PA	INDIANA	10
PA	MERCER	14
PA	BRADFORD	23
PA	TIOGA	2
PA	CLINTON	10
PA	BLAIR	55
PA	MIFFLIN	4
PA	WAYNE	9
PA	CAMBRIA	75
PA	FRANKLIN	39
PA	ALLEGHENY	967
PA	MCKEAN	33
PA	CRAWFORD	53
PA	LUZERNE	277
PA	LACKAWANNA	113
OH	ADAMS	35
OH	LAWRENCE	14
OH	TRUMBULL	206
OH	ASHLAND	62
OH	VAN WERT	14
OH	ERIE	186
OH	MONROE	5
OH	PIKE	5
OH	SHELBY	123
OH	CHAMPAIGN	31
OH	SUMMIT	357
OH	PUTNAM	3
OH	HAMILTON	2842
OH	ASHTABULA	167
OH	MERCER	15
OH	LAKE	994
OH	WILLIAMS	1
OH	ROSS	65
OH	MAHONING	290
OH	HARDIN	12
OH	CARROLL	4
OH	MONTGOMERY	1197
OH	GREENE	147
OH	FRANKLIN	280
OH	JACKSON	27
OH	LUCAS	206
OH	UNION	6
OH	WASHINGTON	31
OH	WAYNE	103
OH	HENRY	2
OH	WARREN	140
OH	CLINTON	70
OH	RICHLAND	77
OH	SANDUSKY	75
OH	OTTAWA	15
OH	WOOD	73
OH	FULTON	9
OH	AUGLAIZE	20
OH	GEAUGA	53
OH	HIGHLAND	66
OH	CRAWFORD	14
OH	SENECA	42
OH	MEIGS	12
OH	DEFIANCE	51
OH	GALLIA	31
OH	JEFFERSON	14
OH	KNOX	4
OH	BROWN	32
OH	DELAWARE	25
OH	FAYETTE	49
OH	GUERNSEY	27
OH	VINTON	1
OH	PICKAWAY	2
OH	COSHOCTON	1
OH	MIAMI	76
OH	HANCOCK	105
OH	LICKING	18
OH	FAIRFIELD	21
OH	HARRISON	2
OH	HOCKING	5
OH	PREBLE	36
OH	SCIOTO	78
OH	PAULDING	3
OH	BELMONT	24
OH	COLUMBIANA	155
OH	HURON	70
OH	DARKE	36
OH	PERRY	3
OH	TUSCARAWAS	30
OH	WYANDOT	1
OH	CLERMONT	133
OH	LORAIN	428
OH	ATHENS	11
OH	MORROW	1
OH	BUTLER	300
OH	ALLEN	68
OH	HOLMES	2
OH	PORTAGE	147
OH	STARK	409
OH	MARION	74
OH	MEDINA	135
OH	MUSKINGUM	20
OH	NOBLE	1
OH	MADISON	28
OH	CUYAHOGA	1963
OH	CLARK	106
OH	LOGAN	46
WV	GREENBRIER	2
WV	MARSHALL	1
WV	CABELL	13
WV	HAMPSHIRE	2
WV	JEFFERSON	12
WV	RALEIGH	17
WV	BERKELEY	41
WV	MCDOWELL	3
WV	MONROE	1
WV	MINERAL	8
WV	RANDOLPH	1
WV	FAYETTE	1
WV	BARBOUR	2
WV	OHIO	7
WV	NICHOLAS	15
WV	GILMER	1
WV	PUTNAM	1
WV	BRAXTON	3
WV	GRANT	2
WV	HANCOCK	6
WV	MASON	2
WV	WAYNE	3
WV	MARION	6
WV	HARRISON	19
WV	MERCER	4
WV	LOGAN	5
WV	WOOD	23
WV	MORGAN	2
WV	KANAWHA	68
